Index,Type,Weight,Price
285,Scallop	,10.4,9.62
286,Shrimp	,8.2,9.4
287,Fish	,9.4,9.4
288,Shrimp	,9.8,9.4
289,Crab	,7.6,9.72
290,Fish	,8.7,9.4
291,Fish	,9.8,9.4
292,Shrimp	,9.1,9.4
293,Shrimp	,8.9,9.4
294,Fish	,9.7,9.4
295,Shrimp	,9.5,9.4
296,Scallop	,8.2,9.62
297,Shrimp	,10.3,9.4
298,Scallop	,8.7,9.62
299,Crab	,9.9,9.72
300,Scallop	,9.1,9.62
