-2,5
-1.5,6
-1,7
-0.5,8
0,9
0.5,10
1,11
1.5,12
2,13
2.5,14
3,15
3.5,16
4,17
4.5,18
5,19
5.5,20
6,21
6.5,22
7,23
7.5,24
8,25
8.5,26
9,27
9.5,28
10,29
,
-10,-13.15859241
-9.5,-1.651992537
-9,-14.08730269
-8.5,-13.02314133
-8,-13.83247774
-7.5,-4.548525443
-7,-7.721614098
-6.5,-4.188679314
-6,-3.69294843
-5.5,-2.754457233
-5,-0.695941675
-4.5,0
-4,0.032048146
-3.5,2.425879097
-3,3.5910222
-2.5,2.275531897
-2,6.909490859
-1.5,9.10724586
-1,1.813649893
-0.5,6.8533403
0,4.212521293
0.5,11.41359627
1,19.05733158
1.5,16.35113962
2,9.296159072
2.5,2.220286564
3,26.35996479
3.5,2.022910387
4,32.82953154
4.5,34.43060604
5,28.79334472
5.5,33.79169574
6,40.64006231
6.5,32.36810899
7,10.21914227
7.5,0.689174991
8,19.69457197
8.5,40.99112775
9,17.6782475
9.5,19.01666654
10,56.96701742
,
-10,-6
-9.5,-5.083333333
-9,-4.237179487
-8.5,-3.451465201
-8,-2.718131868
-7.5,-2.030631868
-7,-1.383573045
-6.5,-0.772461933
-6,-0.193514565
-5.5,0.356485435
-5,0.880294959
-4.5,1.731737576
-4,2.580074286
-3.5,3.428514942
-3,4.279942567
-2.5,5.136993731
-2,6.00211876
-1.5,6.877627893
-1,7.765727409
-0.5,8.668548455
0,9.588170504
0.5,10.52664077
1,11.46925521
1.5,12.41635906
2,13.36816116
2.5,14.324743
3,15.28606439
3.5,16.25196656
4,17.22217317
4.5,18.19628963
5,19.17380112
5.5,19.6617727
6,20.12476768
6.5,20.55700547
7,20.95098499
7.5,21.29684804
8,21.58144492
8.5,21.78693245
9,21.88861694
9.5,21.85153866
10,21.624883
-10,-2.239410083
-9.5,-1.595098618
-9,-1.005605724
-8.5,-0.458056122
-8,0.057371063
-7.5,0.548316413
-7,1.020831155
-6.5,1.479786763
-6,1.929165149
-5.5,2.3722683
-5,2.811872351
-4.5,3.51175941
-4,4.218634442
-3.5,4.935802296
-3,5.665969183
-2.5,6.411369114
-2,7.173851179
-1.5,7.954940124
-1,8.755878154
-0.5,9.577653165
0,10.42101686
0.5,11.26305241
1,12.08921527
1.5,12.89675484
2,13.68225858
2.5,14.44154316
3,15.16948964
3.5,15.85979947
4,16.50463327
4.5,17.09406758
5,17.61525843
5.5,17.89704338
6,18.1533203
6.5,18.38069017
7,18.57525606
7.5,18.73258534
8,18.84770397
8.5,18.91516636
9,18.9292895
9.5,18.88473356
10,18.77781183
,
0,9
0.5,10
1,11
1.5,12
2,13
2.5,14
3,15
3.5,16
4,17
4.5,18
5,19
5.5,20
6,21
6.5,22
7,23
7.5,24
8,25
8.5,26
9,27
9.5,28
10,29
10.5,30
11,31
11.5,32
12,33
12.5,34
13,35
13.5,36
14,37
14.5,38
15,39
15.5,40
16,41
16.5,42
17,43
17.5,44
18,45
18.5,46
19,47
19.5,48
20,49
,
0,9.251510668
0.5,8.89039969
1,9.207627789
1.5,2.550690218
2,10.71047076
2.5,18.70980233
3,15.72029747
3.5,10.56958418
4,8.900496641
4.5,33.73922741
5,22.99833287
5.5,32.59229511
6,3.349470062
6.5,30.94126316
7,22.45610651
7.5,35.81458123
8,46.73711219
8.5,42.59073014
9,28.54930005
9.5,6.888370579
10,28.26095784
10.5,31.79079312
11,45.25196566
11.5,9.008551678
12,55.67247157
12.5,22.7064388
13,3.409120377
13.5,19.79414851
14,40.86643291
14.5,9.709779553
15,49.9300671
15.5,62.93596346
16,64.9173101
16.5,82.19234151
17,74.09257734
17.5,16.78245747
18,84.79894804
18.5,50.79278896
19,46.00233735
19.5,82.58058658
20,81.29052729
,
0,14
0.5,14.91666667
1,15.76282051
1.5,16.5485348
2,17.28186813
2.5,17.96936813
3,18.61642696
3.5,19.22753807
4,19.80648543
4.5,20.35648543
5,20.88029496
5.5,21.73173758
6,22.58007429
6.5,23.42851494
7,24.27994257
7.5,25.13699373
8,26.00211876
8.5,26.87762789
9,27.76572741
9.5,28.66854846
10,29.5881705
10.5,30.52664077
11,31.46925521
11.5,32.41635906
12,33.36816116
12.5,34.324743
13,35.28606439
13.5,36.25196656
14,37.22217317
14.5,38.19628963
15,39.17380112
15.5,39.6617727
16,40.12476768
16.5,40.55700547
17,40.95098499
17.5,41.29684804
18,41.58144492
18.5,41.78693245
19,41.88861694
19.5,41.85153866
20,41.624883
0,17.76058992
0.5,18.40490138
1,18.99439428
1.5,19.54194388
2,20.05737106
2.5,20.54831641
3,21.02083116
3.5,21.47978676
4,21.92916515
4.5,22.3722683
5,22.81187235
5.5,23.51175941
6,24.21863444
6.5,24.9358023
7,25.66596918
7.5,26.41136911
8,27.17385118
8.5,27.95494012
9,28.75587815
9.5,29.57765316
10,30.42101686
10.5,31.26305241
11,32.08921527
11.5,32.89675484
12,33.68225858
12.5,34.44154316
13,35.16948964
13.5,35.85979947
14,36.50463327
14.5,37.09406758
15,37.61525843
15.5,37.89704338
16,38.1533203
16.5,38.38069017
17,38.57525606
17.5,38.73258534
18,38.84770397
18.5,38.91516636
19,38.9292895
19.5,38.88473356
20,38.77781183
